id,year,section,severity,comment,url
1065280,2007,1B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000119312508040378/d10k.htm
"
1065280,2007,9B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000119312508040378/d10k.htm
"
1065280,2008,1B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000119312509037430/d10k.htm
"
1065280,2008,9B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000119312509037430/d10k.htm
"
1065280,2009,1B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000119312510036181/d10k.htm
"
1065280,2009,9B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000119312510036181/d10k.htm
"
1065280,2010,1B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000119312511040217/d10k.htm
"
1065280,2010,4,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000119312511040217/d10k.htm
"
1065280,2010,9B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000119312511040217/d10k.htm
"
1065280,2011,1B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000119312512053009/d260328d10k.htm
"
1065280,2011,4,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000119312512053009/d260328d10k.htm
"
1065280,2011,9B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000119312512053009/d260328d10k.htm
"
1065280,2012,1,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000106528013000008/nflx1231201210kdoc.htm
"
1065280,2012,1A,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000106528013000008/nflx1231201210kdoc.htm
"
1065280,2012,1B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000106528013000008/nflx1231201210kdoc.htm
"
1065280,2012,4,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000106528013000008/nflx1231201210kdoc.htm
"
1065280,2012,9B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000106528013000008/nflx1231201210kdoc.htm
"
1065280,2013,1B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000106528014000006/nflx10k2013.htm
"
1065280,2013,4,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000106528014000006/nflx10k2013.htm
"
1065280,2013,9B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000106528014000006/nflx10k2013.htm
"
1065280,2014,1B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000106528015000006/nflx201410k.htm
"
1065280,2014,4,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000106528015000006/nflx201410k.htm
"
1065280,2014,9B,warning,length zero,"https://www.sec.gov/Archives/edgar/data/1065280/000106528015000006/nflx201410k.htm
"
1065280,2015,1B,warning,length zero,https://www.sec.gov/Archives/edgar/data/1065280/000106528016000047/nflx201510k.htm
1065280,2015,4,warning,length zero,https://www.sec.gov/Archives/edgar/data/1065280/000106528016000047/nflx201510k.htm
1065280,2015,9B,warning,length zero,https://www.sec.gov/Archives/edgar/data/1065280/000106528016000047/nflx201510k.htm
